user_id,variant,assigned_at,platform,region,user_tenure
USR00001,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00002,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00003,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00004,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00005,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00006,improved_results,2026-05-01T00:00:00Z,Mobile,United Kingdom,Existing
USR00007,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00008,control,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00009,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00010,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00011,control,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00012,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00013,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00014,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00015,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00016,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00017,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00018,improved_results,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00019,improved_results,2026-05-01T00:00:00Z,Mobile,United Kingdom,New
USR00020,control,2026-05-01T00:00:00Z,Mobile,Canada,Existing
USR00021,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00022,control,2026-05-01T00:00:00Z,Desktop,United Kingdom,Existing
USR00023,control,2026-05-01T00:00:00Z,Mobile,Canada,New
USR00024,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00025,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00026,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00027,improved_results,2026-05-01T00:00:00Z,Mobile,Canada,Existing
USR00028,improved_results,2026-05-01T00:00:00Z,TV,United States,Existing
USR00029,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00030,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00031,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00032,control,2026-05-01T00:00:00Z,TV,United States,Existing
USR00033,control,2026-05-01T00:00:00Z,Desktop,United States,New
USR00034,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00035,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00036,control,2026-05-01T00:00:00Z,Desktop,Other,New
USR00037,control,2026-05-01T00:00:00Z,Mobile,United Kingdom,Existing
USR00038,control,2026-05-01T00:00:00Z,Mobile,United States,New
USR00039,improved_results,2026-05-01T00:00:00Z,TV,United States,Existing
USR00040,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00041,control,2026-05-01T00:00:00Z,Desktop,United States,New
USR00042,control,2026-05-01T00:00:00Z,Mobile,Other,New
USR00043,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00044,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00045,improved_results,2026-05-01T00:00:00Z,Mobile,United Kingdom,Existing
USR00046,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00047,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00048,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00049,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00050,control,2026-05-01T00:00:00Z,Mobile,Other,New
USR00051,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00052,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00053,improved_results,2026-05-01T00:00:00Z,TV,United States,Existing
USR00054,improved_results,2026-05-01T00:00:00Z,Desktop,Canada,Existing
USR00055,control,2026-05-01T00:00:00Z,Mobile,Canada,Existing
USR00056,control,2026-05-01T00:00:00Z,Mobile,Canada,New
USR00057,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00058,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00059,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00060,control,2026-05-01T00:00:00Z,Desktop,Other,Existing
USR00061,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00062,improved_results,2026-05-01T00:00:00Z,Desktop,Other,New
USR00063,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00064,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00065,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00066,control,2026-05-01T00:00:00Z,Mobile,United Kingdom,New
USR00067,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00068,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00069,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00070,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00071,control,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00072,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00073,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00074,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00075,improved_results,2026-05-01T00:00:00Z,Desktop,United Kingdom,Existing
USR00076,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00077,improved_results,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00078,improved_results,2026-05-01T00:00:00Z,Mobile,United Kingdom,Existing
USR00079,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00080,control,2026-05-01T00:00:00Z,TV,United States,Existing
USR00081,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00082,control,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00083,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00084,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00085,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00086,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00087,improved_results,2026-05-01T00:00:00Z,Desktop,United Kingdom,Existing
USR00088,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00089,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00090,control,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00091,control,2026-05-01T00:00:00Z,Desktop,United States,New
USR00092,improved_results,2026-05-01T00:00:00Z,TV,United States,Existing
USR00093,control,2026-05-01T00:00:00Z,Mobile,United Kingdom,Existing
USR00094,control,2026-05-01T00:00:00Z,TV,United States,New
USR00095,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00096,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00097,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00098,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00099,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00100,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00101,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00102,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00103,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00104,control,2026-05-01T00:00:00Z,Desktop,United States,New
USR00105,improved_results,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00106,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00107,improved_results,2026-05-01T00:00:00Z,TV,United States,Existing
USR00108,control,2026-05-01T00:00:00Z,TV,United States,Existing
USR00109,control,2026-05-01T00:00:00Z,Mobile,United States,New
USR00110,improved_results,2026-05-01T00:00:00Z,Desktop,United Kingdom,Existing
USR00111,improved_results,2026-05-01T00:00:00Z,TV,Other,New
USR00112,improved_results,2026-05-01T00:00:00Z,TV,United States,Existing
USR00113,improved_results,2026-05-01T00:00:00Z,Mobile,United States,New
USR00114,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00115,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00116,control,2026-05-01T00:00:00Z,Desktop,Other,Existing
USR00117,improved_results,2026-05-01T00:00:00Z,Mobile,Canada,New
USR00118,improved_results,2026-05-01T00:00:00Z,TV,United States,Existing
USR00119,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00120,improved_results,2026-05-01T00:00:00Z,Mobile,United Kingdom,New
USR00121,improved_results,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00122,improved_results,2026-05-01T00:00:00Z,Desktop,United States,New
USR00123,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00124,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00125,improved_results,2026-05-01T00:00:00Z,TV,Canada,Existing
USR00126,control,2026-05-01T00:00:00Z,TV,United States,Existing
USR00127,improved_results,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00128,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00129,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00130,improved_results,2026-05-01T00:00:00Z,Mobile,Canada,Existing
USR00131,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00132,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00133,control,2026-05-01T00:00:00Z,TV,Canada,Existing
USR00134,improved_results,2026-05-01T00:00:00Z,Desktop,Other,Existing
USR00135,control,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00136,control,2026-05-01T00:00:00Z,Desktop,United Kingdom,New
USR00137,control,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00138,improved_results,2026-05-01T00:00:00Z,TV,United States,New
USR00139,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00140,control,2026-05-01T00:00:00Z,Desktop,Canada,New
USR00141,improved_results,2026-05-01T00:00:00Z,Desktop,United Kingdom,New
USR00142,improved_results,2026-05-01T00:00:00Z,TV,United States,Existing
USR00143,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00144,improved_results,2026-05-01T00:00:00Z,Mobile,Other,Existing
USR00145,control,2026-05-01T00:00:00Z,Desktop,Canada,Existing
USR00146,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00147,control,2026-05-01T00:00:00Z,Desktop,United Kingdom,Existing
USR00148,improved_results,2026-05-01T00:00:00Z,TV,United States,Existing
USR00149,improved_results,2026-05-01T00:00:00Z,TV,United States,Existing
USR00150,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00151,improved_results,2026-05-01T00:00:00Z,Mobile,United Kingdom,New
USR00152,control,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00153,improved_results,2026-05-01T00:00:00Z,Desktop,United States,New
USR00154,control,2026-05-01T00:00:00Z,Mobile,United States,New
USR00155,improved_results,2026-05-01T00:00:00Z,Mobile,United States,Existing
USR00156,improved_results,2026-05-01T00:00:00Z,Desktop,United States,Existing
USR00157,improved_results,2026-05-01T00:00:00Z,Desktop,Other,New
