session_id,user_id,search_date,query_category,query_length_words,results_returned,zero_results,clicked_result,successful_search,time_to_first_click_seconds,clicked_rank,watch_minutes_after_search,search_error
SES0000001,USR00001,2026-05-17,Music,5,14,0,0,0,,,0.0,0
SES0000002,USR00001,2026-05-14,Shopping,2,17,0,1,1,16.1,1,2.49,0
SES0000003,USR00001,2026-05-05,Entertainment,3,22,0,0,0,,,0.0,0
SES0000004,USR00001,2026-05-01,News,5,18,0,1,1,9.8,2,4.6,0
SES0000005,USR00001,2026-05-06,Entertainment,3,18,0,1,1,10.1,2,15.95,0
SES0000006,USR00001,2026-05-18,Music,4,19,0,1,1,5.8,5,11.14,0
SES0000007,USR00001,2026-05-08,Entertainment,9,14,0,1,1,11.5,5,7.85,0
SES0000008,USR00002,2026-05-23,Music,1,15,0,1,1,9.7,1,23.5,0
SES0000009,USR00002,2026-05-03,News,7,13,0,1,1,9.7,2,6.01,0
SES0000010,USR00002,2026-05-13,How-to,2,0,1,0,0,,,0.0,0
SES0000011,USR00002,2026-05-07,Entertainment,3,18,0,0,0,,,0.0,0
SES0000012,USR00002,2026-05-16,Entertainment,5,26,0,1,1,15.0,1,7.53,0
SES0000013,USR00002,2026-05-13,Entertainment,5,12,0,1,1,27.8,3,2.38,0
SES0000014,USR00002,2026-05-27,Music,3,19,0,0,0,,,0.0,0
SES0000015,USR00002,2026-05-27,Music,3,26,0,1,1,7.0,1,13.24,0
SES0000016,USR00002,2026-05-01,How-to,2,17,0,0,0,,,0.0,0
SES0000017,USR00003,2026-05-23,Entertainment,6,22,0,1,1,9.0,2,9.96,0
SES0000018,USR00003,2026-05-06,Entertainment,3,14,0,0,0,,,0.0,0
SES0000019,USR00003,2026-05-10,Shopping,5,18,0,0,0,,,0.0,0
SES0000020,USR00003,2026-05-15,Music,5,21,0,1,1,12.1,1,5.2,0
SES0000021,USR00003,2026-05-09,News,3,21,0,1,1,11.6,1,8.03,0
SES0000022,USR00003,2026-05-14,Shopping,3,27,0,1,1,6.5,1,3.15,0
SES0000023,USR00003,2026-05-15,Entertainment,4,20,0,0,0,,,0.0,0
SES0000024,USR00003,2026-05-23,How-to,6,22,0,1,0,20.8,1,1.7,0
SES0000025,USR00004,2026-05-12,How-to,3,19,0,1,1,7.5,5,3.5,0
SES0000026,USR00004,2026-05-14,Entertainment,1,15,0,1,1,18.7,16,7.47,0
SES0000027,USR00004,2026-05-26,Music,4,14,0,1,1,17.4,2,5.2,0
SES0000028,USR00004,2026-05-21,Entertainment,6,14,0,0,0,,,0.0,0
SES0000029,USR00004,2026-05-26,News,3,27,0,1,1,12.0,1,6.68,0
SES0000030,USR00005,2026-05-10,Shopping,3,21,0,1,0,16.8,1,1.17,0
SES0000031,USR00005,2026-05-18,News,2,15,0,0,0,,,0.0,0
SES0000032,USR00005,2026-05-27,How-to,3,17,0,1,1,10.6,4,3.92,0
SES0000033,USR00005,2026-05-02,How-to,5,0,0,0,0,,,0.0,1
SES0000034,USR00005,2026-05-05,News,3,16,0,0,0,,,0.0,0
SES0000035,USR00006,2026-05-14,News,2,19,0,0,0,,,0.0,0
SES0000036,USR00006,2026-05-07,Entertainment,4,17,0,1,1,6.1,4,2.01,0
SES0000037,USR00006,2026-05-15,How-to,3,26,0,1,1,6.8,1,6.8,0
SES0000038,USR00006,2026-05-18,News,4,14,0,0,0,,,0.0,0
SES0000039,USR00006,2026-05-14,Entertainment,2,21,0,0,0,,,0.0,0
SES0000040,USR00007,2026-05-16,Entertainment,3,13,0,1,1,8.3,5,7.01,0
SES0000041,USR00007,2026-05-15,How-to,2,12,0,0,0,,,0.0,0
SES0000042,USR00007,2026-05-17,Music,3,26,0,1,1,2.4,1,9.05,0
SES0000043,USR00007,2026-05-12,Entertainment,3,25,0,0,0,,,0.0,0
SES0000044,USR00007,2026-05-10,Entertainment,4,20,0,0,0,,,0.0,0
SES0000045,USR00007,2026-05-14,Entertainment,3,22,0,1,1,7.9,4,4.06,0
SES0000046,USR00007,2026-05-15,News,6,21,0,0,0,,,0.0,0
SES0000047,USR00007,2026-05-09,Music,3,18,0,1,1,24.3,2,7.91,0
SES0000048,USR00007,2026-05-06,Shopping,6,0,1,0,0,,,0.0,0
SES0000049,USR00007,2026-05-08,Entertainment,9,19,0,1,1,5.1,2,4.05,0
SES0000050,USR00008,2026-05-12,How-to,5,24,0,0,0,,,0.0,0
SES0000051,USR00008,2026-05-09,Entertainment,4,13,0,1,0,5.9,7,0.6,0
SES0000052,USR00008,2026-05-25,How-to,2,17,0,1,1,17.4,2,5.34,0
SES0000053,USR00008,2026-05-26,News,3,17,0,0,0,,,0.0,0
SES0000054,USR00008,2026-05-01,Shopping,5,17,0,1,0,8.2,1,1.88,0
SES0000055,USR00008,2026-05-02,Entertainment,7,19,0,1,1,11.4,1,9.13,0
SES0000056,USR00008,2026-05-06,News,2,25,0,0,0,,,0.0,0
SES0000057,USR00008,2026-05-18,News,5,21,0,1,1,8.1,2,4.45,0
SES0000058,USR00008,2026-05-11,How-to,3,17,0,0,0,,,0.0,0
